[ 0.27317077 -0.38125722], [2], 0.0, [ 0.17805744 -1.58365   ], False, False;
[ 0.17805744 -1.58365   ], [0], 0.0, [0.14440293 0.89474753], False, False;
[0.14440293 0.89474753], [2], 0.0, [0.19239684 0.094733  ], False, False;
[0.19239684 0.094733  ], [2], 0.0, [ 0.15427015 -0.88119139], False, False;
[ 0.15427015 -0.88119139], [0], 0.0, [0.16140639 1.02745246], False, False;
[0.16140639 1.02745246], [2], 0.0, [0.22055851 0.19256223], False, False;
[0.22055851 0.19256223], [2], 0.0, [ 0.19665034 -0.68588693], False, False;
[ 0.19665034 -0.68588693], [2], 0.0, [ 0.07723931 -1.77587161], False, False;
[ 0.07723931 -1.77587161], [0], 0.0, [-0.01920247 -0.20694006], False, False;
[-0.01920247 -0.20694006], [0], 0.0, [0.05456105 1.72391018], False, False;
[0.05456105 1.72391018], [2], 0.0, [0.14720968 0.18640222], False, False;
[0.14720968 0.18640222], [2], 0.0, [ 0.10717631 -1.01191397], False, False;
[ 0.10717631 -1.01191397], [0], 0.0, [0.12246517 1.32540064], False, False;
[0.12246517 1.32540064], [2], 0.0, [0.19869378 0.24694162], False, False;
[0.19869378 0.24694162], [2], 0.0, [ 0.15839826 -1.07895728], False, False;
[ 0.15839826 -1.07895728], [0], 0.0, [0.17552977 1.42955652], False, False;
[0.17552977 1.42955652], [2], 0.0, [0.25971337 0.30888091], False, False;
[0.25971337 0.30888091], [2], 0.0, [ 0.26560411 -0.18739204], False, False;
[ 0.26560411 -0.18739204], [2], 0.0, [ 0.20814418 -0.99847218], False, False;
[ 0.20814418 -0.99847218], [1], 0.0, [ 0.14872014 -0.22204969], False, False;
[ 0.14872014 -0.22204969], [1], 0.0, [0.15988862 0.4515441 ], False, False;
[0.15988862 0.4515441 ], [2], 0.0, [ 0.13289556 -1.00868157], False, False;
[ 0.13289556 -1.00868157], [0], 0.0, [0.13041008 0.95771351], False, False;
[0.13041008 0.95771351], [2], 0.0, [ 0.17179157 -0.10427092], False, False;
[ 0.17179157 -0.10427092], [2], 0.0, [ 0.09331988 -1.51458216], False, False;
[ 0.09331988 -1.51458216], [0], 0.0, [0.05013237 0.62776715], False, False;
[0.05013237 0.62776715], [2], 0.0, [ 0.02095358 -1.22871477], False, False;
[ 0.02095358 -1.22871477], [0], 0.0, [-0.02081794  0.36926363], False, False;
[-0.02081794  0.36926363], [1], 0.0, [0.0078465  0.22044016], False, False;
[0.0078465  0.22044016], [1], 0.0, [0.03118533 0.2597057 ], False, False;
[0.03118533 0.2597057 ], [1], 0.0, [0.06322926 0.39948232], False, False;
[0.06322926 0.39948232], [2], 0.0, [ 0.03195109 -1.04365452], False, False;
[ 0.03195109 -1.04365452], [0], 0.0, [0.01222458 0.63797389], False, False;
[0.01222458 0.63797389], [2], 0.0, [-0.02201033 -1.34231716], False, False;
[-0.02201033 -1.34231716], [0], 0.0, [-0.0646536   0.46393028], False, False;
[-0.0646536   0.46393028], [1], 0.0, [-0.03657922  0.113516  ], False, False;
[-0.03657922  0.113516  ], [0], 0.0, [0.0487333  1.64139801], False, False;
[0.0487333  1.64139801], [2], 0.0, [0.14874732 0.4196568 ], False, False;
[0.14874732 0.4196568 ], [2], 0.0, [ 0.13132798 -0.77894903], False, False;
[ 0.13132798 -0.77894903], [0], 0.0, [0.16874576 1.54537028], False, False;
[0.16874576 1.54537028], [2], 0.0, [0.26185079 0.37744597], False, False;
[0.26185079 0.37744597], [2], 0.0, [ 0.25089802 -0.60370952], False, False;
[ 0.25089802 -0.60370952], [0], 0.0, [0.3294461  2.20337151], False, False;
[0.3294461  2.20337151], [2], 0.0, [0.52630883 1.86029533], False, False;
[0.52630883 1.86029533], [2], 0.0, [0.72253885 2.18237452], False, False;
[0.72253885 2.18237452], [1], 0.0, [1.05021469 4.4460131 ], False, False;
[1.05021469 4.4460131 ], [1], -1.0, [1.62646087 7.16457481], True, True;
[-0.02007172  0.        ], [1], 0.0, [-0.00570379  0.29561041], False, False;
[-0.00570379  0.29561041], [1], 0.0, [0.02661866 0.36934758], False, False;
[0.02661866 0.36934758], [2], 0.0, [-0.01501506 -1.22607523], False, False;
[-0.01501506 -1.22607523], [0], 0.0, [-0.05898113  0.32074826], False, False;
[-0.05898113  0.32074826], [0], 0.0, [0.05678256 2.06077616], False, False;
[0.05678256 2.06077616], [2], 0.0, [0.1944127  0.77683228], False, False;
[0.1944127  0.77683228], [2], 0.0, [ 0.21628595 -0.32522362], False, False;
[ 0.21628595 -0.32522362], [2], 0.0, [ 0.14757704 -1.0914302 ], False, False;
[ 0.14757704 -1.0914302 ], [0], 0.0, [0.14708727 1.08139458], False, False;
[0.14708727 1.08139458], [2], 0.0, [ 0.19176029 -0.15937205], False, False;
[ 0.19176029 -0.15937205], [2], 0.0, [ 0.1090881  -1.54670305], False, False;
